












DAY,ダミー
MONEY,ダミー
TIME,ダミー
ITEM,ダミー
ITEMSALES,ダミー
NOITEM,ダミー
BOUGHT,ダミー
PBAND,ダミー
FLAG,ダミー
TFLAG,ダミー
TARGET,ダミー
MASTER,ダミー
PLAYER,ダミー
ASSI,ダミー
ASSIPLAY,ダミー
UP,ダミー
DOWN,ダミー
LOSEBASE,ダミー
PARAMLV,ダミー
EXPLV,ダミー
EJAC,ダミー
PREVCOM,ダミー
SELECTCOM,ダミー
NEXTCOM,ダミー
RESULT,ダミー
COUNT,ダミー





























SAVESTR,ダミー
RESULTS,ダミー




BASE,ダミー
MAXBASE,ダミー
ABL,ダミー
TALENT,ダミー
EXP,ダミー
MARK,ダミー
PARAM,ダミー
SOURCE,ダミー
EX,ダミー
CFLAG,ダミー
JUEL,ダミー
RELATION,ダミー
EQUIP,ダミー
TEQUIP,ダミー
STAIN,ダミー
GOTJUEL,ダミー
NOWEX,ダミー
TCVAR,ダミー
CUP,ダミー
CDOWN,ダミー
DOWNBASE,ダミー



CSTR,ダミー
CFLAGNAME,ダミー



LOCAL,ダミー
LOCALS,ダミー
ARG,ダミー
ARGS,ダミー
GLOBAL,ダミー
GLOBALS,ダミー



DITEMTYPE,ダミー
DA,ダミー
DB,ダミー
DC,ダミー
DD,ダミー
DE,ダミー





